Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_RG","LED_D3.0mm",51.130000,-147.450000,0.000000,top
"D3","LED_RG","LED_D3.0mm",79.430000,-147.450000,0.000000,top
"D5","LED_RG","LED_D3.0mm",109.430000,-147.450000,0.000000,top
"D7","LED_RG","LED_D3.0mm",137.730000,-147.450000,0.000000,top
"D9","GREEN LED","LED_D3.0mm",43.420000,-124.000000,0.000000,top
"D10","YELLOW LED","LED_D3.0mm",48.525000,-124.000000,0.000000,top
"D11","RED LED","LED_D3.0mm",43.465000,-129.650000,0.000000,top
"D12","BLUE LED","LED_D3.0mm",48.550000,-129.650000,0.000000,top
"GR1","small_logo","small_face",135.890000,-127.254000,0.000000,top
"J1","Thonk 3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",52.400000,-140.750000,-90.000000,top
"J2","Thonk 3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",80.700000,-140.750000,-90.000000,top
"J3","Thonk 3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",110.700000,-140.750000,90.000000,top
"J4","Thonk 3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",139.000000,-140.750000,90.000000,top
"J5","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",92.440000,-133.740000,90.000000,top
"RV1","5K","Potentiometer_Bourns_3296W_Vertical",123.928000,-128.000000,-90.000000,top
"RV2","5K","Potentiometer_Bourns_3296W_Vertical",146.078000,-128.000000,-90.000000,top
"SW1","SW_SPDT","SW_Slide_EG1248",95.700000,-142.000000,-90.000000,top
"SW2","SW_SPDT","SW_Slide_EG1248",67.000000,-142.000000,-90.000000,top
"SW3","SW_SPDT","SW_Slide_EG1248",124.400000,-142.000000,-90.000000,top
"SW4","MFS201N-9-Z","MFS201N−9−Z",63.750000,-126.000000,0.000000,top
